@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}
@attribute outputs-2 {0,1,2,3,4,5,6,7,8}
@attribute outputs-3 {0,1,2,3,4,5,6,7,8}

@data
44,'2020/12/18 11:46:01:911',2,0.430922,0.074142,9.796897,0,1,3.584015,254.571426,364.220978,0.061443,0.069668,-0.499224,12.371377,0.99869,2.546658,2.577207,6.778626,6.851053,23.536161,6.358913,1,?,?
45,'2020/12/18 11:46:02:175',2,0.458471,0.162185,9.794584,0,1,3.58323,253.789246,364.474243,0.061981,0.067694,-0.500442,12.463373,0.992206,2.517872,2.550958,6.82839,6.891471,23.544827,6.32185,1,?,?
46,'2020/12/18 11:46:02:394',2,0.513033,0.207019,9.791034,0,1,3.582171,252.682205,364.932556,0.060621,0.073638,-0.503174,12.503713,0.969155,2.620888,2.644806,6.826585,6.886208,23.640703,6.32082,1,?,?
47,'2020/12/18 11:46:02:577',2,0.513033,0.207019,9.791034,0,1,3.582396,252.407852,364.6091,0.065594,0.069768,-0.50487,12.439304,1.00195,2.4525,2.482696,6.857003,6.911192,23.615229,6.287665,1,?,?
48,'2020/12/18 11:46:02:729',2,0.513033,0.207019,9.791034,0,1,3.579502,251.960754,364.895203,0.065684,0.074011,-0.50599,12.457558,0.957292,2.462251,2.495048,6.862286,6.929681,23.634607,6.380016,1,?,?
49,'2020/12/18 11:46:02:940',2,0.515463,0.203208,9.790985,0,1,3.565087,251.733215,365.334625,0.06517,0.076055,-0.509913,12.689026,1.028817,2.302361,2.337619,7.264357,7.31139,23.762945,6.271992,1,?,?
50,'2020/12/18 11:46:03:173',2,0.499733,0.187114,9.792121,0,1,3.574244,251.559937,365.204163,0.061184,0.079962,-0.506596,12.682731,1.01212,2.413353,2.439721,7.009093,7.075539,23.76996,6.322268,1,?,?
51,'2020/12/18 11:46:03:323',2,0.499733,0.187114,9.792121,0,1,3.574682,251.394669,365.052582,0.059898,0.080561,-0.510462,12.436567,1.001428,2.346473,2.369037,6.966718,7.00808,23.720098,6.344406,1,?,?
52,'2020/12/18 11:46:03:513',2,0.529024,0.198104,9.790366,0,1,3.571398,251.511505,365.105774,0.050021,0.086465,-0.509306,12.488522,0.947585,2.620114,2.623313,6.834062,6.871865,23.675011,6.362422,1,?,?
53,'2020/12/18 11:46:03:707',2,0.850186,0.120631,9.768982,0,1,3.565692,251.464188,364.96048,0.04375,0.088593,-0.51567,12.497415,1.014706,2.398264,2.426877,6.947497,7.003295,23.691904,6.355391,1,?,?
